# category|youtube_id|title|duration_seconds|description
Music|ZbZSe6N_BXs|Pharrell Williams - Happy (Official Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|YQHsXMglC9A|Adele - Hello (Official Music Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|YlUKcNNmywk|Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE]|240|Verified embeddable YouTube video for MINITUBE.
Music|rYEDA3JcQqw|Adele - Rolling in the Deep (Official Music Video)|240|Verified embeddable YouTube video for MINITUBE.
Music|3tmd-ClpJxA|Taylor Swift - Look What You Made Me Do|240|Verified embeddable YouTube video for MINITUBE.
Music|60ItHLz5WEA|Alan Walker - Faded|240|Verified embeddable YouTube video for MINITUBE.
Music|y6120QOlsfU|Darude - Sandstorm|240|Verified embeddable YouTube video for MINITUBE.
Music|MkElfR_NPBI|Little Mix - Black Magic (Official Video)|240|Verified embeddable YouTube video for MINITUBE.
Gaming|R6MlUcmOul8|Tears of Steel - Blender VFX Open Movie|734|Verified embeddable YouTube video for MINITUBE.
Gaming|YE7VzlLtp-4|Big Buck Bunny|240|Verified embeddable YouTube video for MINITUBE.
News|6Af6b_wyiwI|The next outbreak? We’re not ready / Bill Gates / TED|240|Verified embeddable YouTube video for MINITUBE.
Education|8jPQjjsBbIc|How to stay calm when you know you'll be stressed / Daniel Levitin / TED|240|Verified embeddable YouTube video for MINITUBE.
Science|R9OCA6UFE-0|The philosophy of Stoicism - Massimo Pigliucci|240|Verified embeddable YouTube video for MINITUBE.
Education|arj7oStGLkU|Inside the Mind of a Master Procrastinator / Tim Urban / TED|240|Verified embeddable YouTube video for MINITUBE.
Education|iCvmsMzlF7o|The Power of Vulnerability / Brené Brown / TED|240|Verified embeddable YouTube video for MINITUBE.
Tech|9No-FiEInLA|Google interns' first week|240|Verified embeddable YouTube video for MINITUBE.
Comedy|8S0FDjFBj8o|How to sound smart in your TEDx Talk / Will Stephen / TEDxNewYork|240|Verified embeddable YouTube video for MINITUBE.
Education|TQMbvJNRpLE|How to Achieve Your Most Ambitious Goals / Stephen Duneier / TEDxTucson|240|Verified embeddable YouTube video for MINITUBE.
Education|8KkKuTCFvzI|What Makes a Good Life? Lessons from the Longest Study on Happiness / Robert Waldinger / TED|240|Verified embeddable YouTube video for MINITUBE.
Education|T67AewxhBaQ|I've Discovered Something Amazing! Again!|240|Verified embeddable YouTube video for MINITUBE.
Education|eIho2S0ZahI|How to Speak So That People Want to Listen / Julian Treasure / TED|240|Verified embeddable YouTube video for MINITUBE.
Education|Ks-_Mh1QhMc|Your Body Language May Shape Who You Are / Amy Cuddy / TED|240|Verified embeddable YouTube video for MINITUBE.
Education|UyyjU8fzEYU|My stroke of insight / Jill Bolte Taylor / TED|240|Verified embeddable YouTube video for MINITUBE.
Sports|21X5lGlDOfg|NASA Live: Official Stream of NASA TV|240|Verified embeddable YouTube video for MINITUBE.
Tech|sBws8MSXN7A|React JS Crash Course (2019)|240|Verified embeddable YouTube video for MINITUBE.
Tech|HGTJBPNC-Gw|HTML & CSS Full Course for free 🌎|240|Verified embeddable YouTube video for MINITUBE.
Education|_gJMv9YtX8I|TEDxNASA - Dennis Hong - 11/20/09|240|Verified embeddable YouTube video for MINITUBE.
Education|yYL9l0sgIa0|TEDxNASA - Jamia Simone Nash - 11/20/09|240|Verified embeddable YouTube video for MINITUBE.
Education|6HhNGU08KoE|TEDxAcademy - Aristos Doxiadis|240|Verified embeddable YouTube video for MINITUBE.
Education|yraCtUo9N6E|TEDxAcademy - Dimitris Tsoukalas|240|Verified embeddable YouTube video for MINITUBE.
Education|kKqpiS9tjgQ|TEDxNASA - Dr. Sue Morter - 11/20/09|240|Verified embeddable YouTube video for MINITUBE.
Education|TcUaMo1DxkY|TEDxNASA - Mike Rayburn - 11/20/09|240|Verified embeddable YouTube video for MINITUBE.
Education|EcVXxTFdygk|TEDxProacademy - Jaakko Halmetoja|240|Verified embeddable YouTube video for MINITUBE.
Education|5dMWx0AQ_sU|TEDxAcademy - Stelios Ramfos|240|Verified embeddable YouTube video for MINITUBE.
Education|3k_ymtrJ_Qg|Using Khan Academy for flipped classroom / Khan For Educators / Khan Academy India|240|Verified embeddable YouTube video for MINITUBE.
Tech|Oe421EPjeBE|Node.js and Express.js - Full Course|240|Verified embeddable YouTube video for MINITUBE.
Tech|B31LgI4Y4DQ|Data Structures - Full Course Using C and C++|240|Verified embeddable YouTube video for MINITUBE.
Tech|W6NZfCO5SIk|JavaScript Course for Beginners – Your First Step to Web Development|240|Verified embeddable YouTube video for MINITUBE.
Tech|IHZwWFHWa-w|Gradient descent, how neural networks learn / Deep Learning Chapter 2|240|Verified embeddable YouTube video for MINITUBE.
Tech|bC7o8P_Ste4|Greedy Algorithms Tutorial – Solve Coding Challenges|240|Verified embeddable YouTube video for MINITUBE.
Travel|libKVRa01L8|Solar System 101 / National Geographic|240|Verified embeddable YouTube video for MINITUBE.
Tech|RGOj5yH7evk|Git and GitHub for Beginners - Crash Course|240|Verified embeddable YouTube video for MINITUBE.
Education|ehDAP1OQ9Zw|iPhone application developer... and 6th grader / Thomas Suarez / TEDxManhattanBeach|240|Verified embeddable YouTube video for MINITUBE.
Education|gXDMoiEkyuQ|Gratitude / Louie Schwartzberg / TEDxSF|240|Verified embeddable YouTube video for MINITUBE.
Education|X4Qm9cGRub0|The power of vulnerability / Brené Brown / TEDxHouston|240|Verified embeddable YouTube video for MINITUBE.
Cooking|F7Id9caYw-Y|What's wrong with our food system / Birke Baehr / TEDxNextGenerationAsheville|240|Verified embeddable YouTube video for MINITUBE.
Education|rixyrCNVVGA|Robyn O'Brien / TEDxAustin 2011|240|Verified embeddable YouTube video for MINITUBE.
Education|u4ZoJKF_VuA|Start with why -- how great leaders inspire action / Simon Sinek / TEDxPugetSound|240|Verified embeddable YouTube video for MINITUBE.
Education|kUEGHdQO7WA|A radical experiment in empathy: Sam Richards at TEDxPSU|240|Verified embeddable YouTube video for MINITUBE.
Education|O7yaDlZfqrc|Lesley Hazleton at TEDxRainier|240|Verified embeddable YouTube video for MINITUBE.
Education|RENk9PK06AQ|The world's ugliest music / Scott Rickard / TEDxMIA|240|Verified embeddable YouTube video for MINITUBE.
Education|v3BI3WfaQq8|En este mundo: Magdalena Goyheneix at TEDxRíodelaPlata-TEDxChange|240|Verified embeddable YouTube video for MINITUBE.
Education|N25inoCea24|TEDxSSN - Dr. Pawan Agrawal - Mumbai Dabbawalas|240|Verified embeddable YouTube video for MINITUBE.
Education|9rb5ZCe_n3k|5 qualités qui font échouer à l'école mais réussir dans la vie: Faysal Hafidi at TEDxCasablanca|240|Verified embeddable YouTube video for MINITUBE.
Education|BlvKWEvKSi8|Dan Meyer at TEDxNYED|240|Verified embeddable YouTube video for MINITUBE.
Education|RGF9NbPFfRo|Google consciousness / Maf Lewis and Rome Viharo / TEDxCardiff|240|Verified embeddable YouTube video for MINITUBE.
Art|s9QVq0EM6g4|TEDxSF - Nicole Daedone - Orgasm: The Cure for Hunger in the Western Woman|240|Verified embeddable YouTube video for MINITUBE.
Education|gHX5lAslnTc|TEDxAmsterdam 2011 - Peter van Uhm|240|Verified embeddable YouTube video for MINITUBE.
Education|QCmsvXgxdDY|TEDxBerlin - Fabian Hemmert - 11/30/09|240|Verified embeddable YouTube video for MINITUBE.
Fashion|_UoMXF73j0c|The price of invulnerability: Brené Brown at TEDxKC|240|Verified embeddable YouTube video for MINITUBE.
DIY|KLjgBLwH3Wc|Minding your mitochondria / Dr. Terry Wahls / TEDxIowaCity|240|Verified embeddable YouTube video for MINITUBE.
Education|N2QZM7azGoA|Living beyond limits / Amy Purdy / TEDxOrangeCoast|240|Verified embeddable YouTube video for MINITUBE.
Gaming|K9y6MYDSAww|An argument for game artistry / Kellee Santiago / TEDxUSC|240|Verified embeddable YouTube video for MINITUBE.
Education|ko27XN_5m6M|TEDxArabia 2011 / Bader Saleh / Eysh Elly Internet / بدر صالح / إيش اللي إنترنت|240|Verified embeddable YouTube video for MINITUBE.
Education|ajKMkIXN1eg|TEDxToronto - Neil Pasricha "The 3 A's of Awesome"|240|Verified embeddable YouTube video for MINITUBE.
Tech|7p189OCWpRU|TEDxToronto  - Boonaa Mohammed "Kill Them With Love"|240|Verified embeddable YouTube video for MINITUBE.
Education|Xmbs8ihPrlg|TEDxKarachi 2011 - Imran Khan - Never Give up on Your Dreams|240|Verified embeddable YouTube video for MINITUBE.
Education|UlDWRZ7IYqw|Dance your PhD / John Bohannon & Black Label Movement / TEDxBrussels|240|Verified embeddable YouTube video for MINITUBE.
Education|SXM7MpoVAD0|TEDxSydney - Nigel Marsh - Work Life Balance is an Ongoing Battle|240|Verified embeddable YouTube video for MINITUBE.
Education|K3wXI82Y8_0|TEDx: As the journey progresses|240|Verified embeddable YouTube video for MINITUBE.
Education|3aYUpzgXSCQ|台灣空拍家園: Po-lin Chi (齊柏林) at TEDxTaipei 2011|240|Verified embeddable YouTube video for MINITUBE.
Education|pRU5lIus-Zg|TEDxYouthOttawa - Brigette dePape - 03/04/10|240|Verified embeddable YouTube video for MINITUBE.
Education|O3CnWavAWzc|TEDxTokyo - 川口盛之助 - 05/15/10 (日本語)|240|Verified embeddable YouTube video for MINITUBE.
Education|gtKTcPq7XBs|Deaf in the military [Subtitled] / Keith Nolan / TEDxIslay|240|Verified embeddable YouTube video for MINITUBE.
Cooking|yzAVLMdeLoU|Bread and salt: Fadel Soliman at TEDxCairo|240|Verified embeddable YouTube video for MINITUBE.
Education|mkA8MNccub0|The long road to everest & beyond / Omar Samra / TEDxCairo|240|Verified embeddable YouTube video for MINITUBE.
Education|ctyyXjCfB50|TEDxZurich-Marco Tempest-Shows you how a high-tech sorcerer works|240|Verified embeddable YouTube video for MINITUBE.
Tech|cQl6jUjFjp4|Duolingo -- the next chapter in human computation /  Luis von Ahn / TEDxCMU 2011|240|Verified embeddable YouTube video for MINITUBE.
Gaming|aR6jLD1USW0|Disruption and engagement: Roger McNamee at TEDxSantaCruz|240|Verified embeddable YouTube video for MINITUBE.
Education|-3NKVnRN7kY|TEDxBerlin 11/15/10 - Fabian Hemmert - How can we make mobile communication more emotional|240|Verified embeddable YouTube video for MINITUBE.
Education|_VEYn3bXz34|Cómo matar al intermediario / Hernán Casciari / TEDxRíodelaPlata|240|Verified embeddable YouTube video for MINITUBE.
Tech|ReKCp9K_Jqw|TEDxAmericanRiviera - Jay Freeman AKA saurik - Even software should have screws|240|Verified embeddable YouTube video for MINITUBE.
Education|7Iv2nZnZOrM|Sarah Kay, Poetess/Storyteller / TEDxEast|240|Verified embeddable YouTube video for MINITUBE.
Sports|QZmwbpclGn0|Ser distinto: Manu Ginóbili at TEDxBuenosAires|240|Verified embeddable YouTube video for MINITUBE.
Comedy|e_ndlO2SMIQ|TEDxZurich - Marco Tempest - The magic of truth and lies|240|Verified embeddable YouTube video for MINITUBE.
Education|dCar_sFfEf4|TEDxEdmonton - Cameron Herold - 3/13/10|240|Verified embeddable YouTube video for MINITUBE.
Education|tripD00-9zU|TEDxVancouver - Neill Blomkamp - 11/21/09|240|Verified embeddable YouTube video for MINITUBE.
Education|3Cakm2nIQWo|TEDxOakville - Scott Stratten - Keep Going Until We Stop|240|Verified embeddable YouTube video for MINITUBE.
Education|SJ3nlTgL5Ro|The discomfort of our comfort zone / Wael Fakharany / TEDxCairo|240|Verified embeddable YouTube video for MINITUBE.
Art|aja-8sYjNaY|Be an artist, right now / Young-ha Kim / TEDxSeoul|240|Verified embeddable YouTube video for MINITUBE.
DIY|9fD2bMavK8Y|TEDxRamallah - Khaled Al Sabawi - Keeping Palestine Cool: A Different Kind of Underground Movement|240|Verified embeddable YouTube video for MINITUBE.
Education|rW28i_SBphU|TEDxPhoenixvilleSalon - John Cassidy - Kindness|240|Verified embeddable YouTube video for MINITUBE.
Education|Nv7n5jhrHGQ|America's native prisoners of war: Aaron Huey at TEDxDU|240|Verified embeddable YouTube video for MINITUBE.
Gaming|sqjPyzRgnfg|TEDxArabia 2011 / Ayman Jamal / Bilal & BatMan / أيمن جمال / بلال وباتمان|240|Verified embeddable YouTube video for MINITUBE.
Education|LENqnjZGX0A|TEDxHouston - Dr. David Eagleman|240|Verified embeddable YouTube video for MINITUBE.
Tech|N2vzotsvvkw|Thorium: Kirk Sorensen at TEDxYYC|240|Verified embeddable YouTube video for MINITUBE.
Education|6SZFY47aIog|A Play Manifesto: Steve Keil at TEDxBG|240|Verified embeddable YouTube video for MINITUBE.
Education|GXy__kBVq1M|TEDxBloomington - Shawn Achor - "The Happiness Advantage: Linking Positive Brains to Performance"|240|Verified embeddable YouTube video for MINITUBE.
Education|iZSHmxeidjc|TEDxYerevan - Hagop Emrazian - Promoting Learning Within 10 Minutes|240|Verified embeddable YouTube video for MINITUBE.
Education|5XQDXAWkxAk|TEDx - Ideas Impacting the World - TEDGlobal2011 Presentation|240|Verified embeddable YouTube video for MINITUBE.
News|eb4TM19DYDY|TEDxUIUC - Daniel Simons - Counter-Intuition|240|Verified embeddable YouTube video for MINITUBE.
Education|HEaERAnIqsY|TEDxTelAviv - Hedy Schleifer - The Power of Connection|240|Verified embeddable YouTube video for MINITUBE.
Science|Nu7wEr8AnHw|TEDxBlue - Daniel J. Siegel, M.D. - 10/18/09|240|Verified embeddable YouTube video for MINITUBE.
Education|UgYcQUgDBPc|Es posible lo imposible / Omar Villalobos / TEDxDF|240|Verified embeddable YouTube video for MINITUBE.
Education|XM9CPSHVOT8|Europa: cómo despertar un espíritu común: Florian Mück at TEDxBarcelona|240|Verified embeddable YouTube video for MINITUBE.
Education|VAv9_IefGxM|TEDxSingapore - 113 year old Teresa Hsu - Wisdom for all ages|240|Verified embeddable YouTube video for MINITUBE.
Education|1y8hiuBUnV8|TEDxBuenosAires - Mariano Sigman - 04/08/10|240|Verified embeddable YouTube video for MINITUBE.
Education|D9_6G8J6VJg|TEDxVienna - Alexander Oswald - Why Kenyans do it better|240|Verified embeddable YouTube video for MINITUBE.
Education|cvTJzbhX98s|TEDxTokyo - Marco Tempest - 05/15/10 - (English)|240|Verified embeddable YouTube video for MINITUBE.
Education|KTu8IrHK4R0|TEDxJakarta - Barry Likumahuwa - Bass, Passion, and Breakthrough|240|Verified embeddable YouTube video for MINITUBE.
Education|MbdxeFcQtaU|TEDxHampshireCollege - Jay Smooth - How I Learned to Stop Worrying and Love Discussing Race|240|Verified embeddable YouTube video for MINITUBE.
DIY|Lp7E973zozc|How to stop screwing yourself over / Mel Robbins / TEDxSF|240|Verified embeddable YouTube video for MINITUBE.
Education|HyNinbbzGuE|Y a-t-il une vie avant la mort? Pierre Rabhi at TEDxParis 2011|240|Verified embeddable YouTube video for MINITUBE.
Education|DImGwfOrvd8|Yasuo SATO [ 佐藤 康雄 ] - TEDxSeeds 2011|240|Verified embeddable YouTube video for MINITUBE.
Education|wialyRxq7YE|TEDxCreativeCoast - Diana Keough - Life Story|240|Verified embeddable YouTube video for MINITUBE.
News|hpjwotips7E|TEDxCaltech - Leonard Susskind - Richard Feynman|240|Verified embeddable YouTube video for MINITUBE.
Science|DnWocYKqvhw|Open science: Michael Nielsen at TEDxWaterloo|240|Verified embeddable YouTube video for MINITUBE.
Science|zpv6aGTcCl8|TEDxSydney - Rachel Botsman - Collaborative Consumption Author Presents Compelling Case for 21C|240|Verified embeddable YouTube video for MINITUBE.
Education|VyKO0xtkm6w|TEDx - One Year and Counting - Presented at TEDGlobal 2010|240|Verified embeddable YouTube video for MINITUBE.
Education|5O00LHnnpBA|A "room" on YouTube! / Bassem Youssef / TEDxCairo|240|Verified embeddable YouTube video for MINITUBE.
Education|qNAMH2_CLfo|Naheed Nenshi at TEDxCalgary|240|Verified embeddable YouTube video for MINITUBE.
Education|RAGjNe1YhMA|TEDxObserver - Cory Doctorow|240|Verified embeddable YouTube video for MINITUBE.
Education|t5HEV96dIuY|TEDxDirigo - Zoe Weil - The World Becomes What You Teach|240|Verified embeddable YouTube video for MINITUBE.
Education|g-g5CCpYeSM|TEDxCardiff - Tara Busch - 04/14/10|240|Verified embeddable YouTube video for MINITUBE.
Education|u0eo9hrkCrA|TEDxCairo - Fatma Said - The Day When The People Changed !|240|Verified embeddable YouTube video for MINITUBE.
Tech|m8PlzDgFQMM|TEDxSanJoseCA - Jeff Greason - Rocket Scientist:  Making Space Pay and Having Fun Doing It|240|Verified embeddable YouTube video for MINITUBE.
Education|lXGY0X-wdjI|Jaime Lerner / TEDxBuenosAires|240|Verified embeddable YouTube video for MINITUBE.
Education|AWOpCDBuhgs|TEDxBuenosAires - Miguel Brechner Frey - 04/08/10 (Spanish)|240|Verified embeddable YouTube video for MINITUBE.
Sports|07o-TASvIxY|TEDxCopenhagen - Mikael Colville-Andersen - Why We Shouldn't Bike with a Helmet|240|Verified embeddable YouTube video for MINITUBE.
Education|7HU05V9HDHo|TEDxTokyo - Ken Mogi - 05/15/10 - (English)|240|Verified embeddable YouTube video for MINITUBE.
Education|Tlt47diDnHU|The right to understand: Sandra Fisher-Martins at TEDxO'Porto|240|Verified embeddable YouTube video for MINITUBE.
Art|4IxNlZChPE0|TEDxTaipei - Janet Hsieh - Let the World be Your Playground|240|Verified embeddable YouTube video for MINITUBE.
Education|NdeqlPrgdhw|TEDxLahore - Saima Zaidi - Reading visual culture in Pakistan|240|Verified embeddable YouTube video for MINITUBE.
Education|KTpChP26scI|TEDxBuenosAires - Luis Pescetti - 04/08/10 (Spanish)|240|Verified embeddable YouTube video for MINITUBE.
Education|mTTO43HVFyU|TEDxDubai - Bashar Atiyat - 10/10/09 [بالعربية]|240|Verified embeddable YouTube video for MINITUBE.
Education|othM2dwi2bE|TEDx Introduction|240|Verified embeddable YouTube video for MINITUBE.
Education|xo24PmD9eic|TEDx - Ideas Spreading Everywhere - TED2011 Presentation|240|Verified embeddable YouTube video for MINITUBE.
Education|Nmefsd5sT_Y|La semaine de merde du futur: Nicolas Bedos at TEDxParis 2011|240|Verified embeddable YouTube video for MINITUBE.
Education|4Omj0prQPRI|TEDxCairo - Zap Tharwat - The Happiness|240|Verified embeddable YouTube video for MINITUBE.
Education|4VdO7LuoBzM|TEDxMaastricht - Simon Sinek - "First why and then trust"|240|Verified embeddable YouTube video for MINITUBE.
Tech|ES_u5b1CAr4|TEDxBoulder - Grant Blakeman - Minimalism - For a More Full Life|240|Verified embeddable YouTube video for MINITUBE.
Education|9E_BH00dkJk|TEDxLaguna - Cristobal Cobo - Aprendizaje invisible: ¿Cómo aprender a pesar de la escuela?|240|Verified embeddable YouTube video for MINITUBE.
Education|nORI8r3JIyw|TEDxBerlin - Bernard Lietaer - 11/30/09|240|Verified embeddable YouTube video for MINITUBE.
Education|HkSUazeI2nM|TEDxVancouver - Nardwuar - Do It Yourself!|240|Verified embeddable YouTube video for MINITUBE.
Education|e5qUR3tpEdA|The New Way to Work: Charlie Hoehn at TEDxCMU 2011|240|Verified embeddable YouTube video for MINITUBE.
Education|ZXnV5HzS7nA|TEDxMumbai - Dhanashree Pandit-Rai - 04/03/10|240|Verified embeddable YouTube video for MINITUBE.
Education|8EEZdO0KAGo|TEDxBuenosAires - Rafael Spregelburd - 04/08/10 (Spanish)|240|Verified embeddable YouTube video for MINITUBE.
Education|WUBjn3Su2QU|TEDx - Ideas Impacting the World - TEDGlobal 2011 Presentation|240|Verified embeddable YouTube video for MINITUBE.
Education|D35qys8YZpo|Telling the new story in the old form: Jaram Lee at TEDxSeoul|240|Verified embeddable YouTube video for MINITUBE.
Education|5umKyVA0jC0|Title of video: Chulmin-Pyo at TEDxYonsei|240|Verified embeddable YouTube video for MINITUBE.
Education|7tu9nJmr4Xs|The shocking truth about your health / Lissa Rankin / TEDxFiDiWomen|240|Verified embeddable YouTube video for MINITUBE.
Education|39cVijTd63I|TEDxDubai - Joichi Ito - 10/10/09 [بالعربية]|240|Verified embeddable YouTube video for MINITUBE.
Education|xyowJZxrtbg|TEDxManhattanBeach - John Bennett - Why Math Instruction Is Unnecessary|240|Verified embeddable YouTube video for MINITUBE.
Art|XitV7TGn1b4|TEDxUSC - Peter Lee Johnson - Electric Violin Performance|240|Verified embeddable YouTube video for MINITUBE.
Music|Xq-HpT5jh2Q|TEDxBG - Vladimir Donkov - Wilderness Photographer|240|Verified embeddable YouTube video for MINITUBE.
Gaming|9APO9_yNbcg|Citizen journalism / Paul Lewis / TEDxThessaloniki|240|Verified embeddable YouTube video for MINITUBE.
Gaming|1nYFpuc2Umk|TEDxEast - Nancy Duarte uncovers common structure of greatest communicators 11/11/2010|240|Verified embeddable YouTube video for MINITUBE.
