# Gülce Celik - verified embeddable YouTube videos (oEmbed + thumbnail tested)
# Format: category|youtube_id|title|duration_seconds|description
Tech|zOjov-2OZ0E|Introduction to Programming and Computer Science - Full Course|36000|Computer science foundations.
Cooking|LsoLEjrDogU|Big Buck Bunny|596|Animated short demo.
Cooking|astISOttCQ0|Gummibar - The Gummy Bear Song|180|Fun food-themed music clip.
Cooking|450p7goxZqg|John Legend - All of Me (Official Video)|285|Romantic dinner playlist pick.
Cooking|fLexgOxsZu0|Big Buck Bunny - Official Blender Foundation short|596|Kitchen scene animation demo.
Travel|LXb3EKWsInQ|COSTA RICA IN 4K 60fps HDR (ULTRA HD)|510|Scenic travel footage.
Travel|1La4QzGeaaQ|Peru 8K HDR 60FPS (FUHD)|480|South America travel visuals.
Travel|fLexgOxsZu0|Big Buck Bunny - Official Blender Foundation short|596|Nature scenery animation.
Travel|O4irXQhgMqg|The Rolling Stones - Paint It, Black (Official Lyric Video)|220|Road trip playlist visual.
Sports|UBMk30rjy0o|10 Minute Morning Stretch Routine|600|Mobility and warm-up flow.
Sports|hHUbLv4ThOo|Pitbull, Ke$ha - Timber (featuring Ke$ha - Official Video)|204|High-energy dance workout.
Sports|VqB1uoDTdKM|DOOR STUCK! DOOR STUCK!|180|Gaming sports meme clip.
Sports|XqZsoesa55w|Baby Shark Dance|131|Kids fitness dance routine.
Comedy|L_jWHffIx5E|Smosh - Funniest Moments|360|Sketch comedy compilation.
Comedy|dQw4w9WgXcQ|Rick Astley - Never Gonna Give You Up|213|Classic comedy meme.
Comedy|VqB1uoDTdKM|DOOR STUCK! DOOR STUCK!|180|Viral funny gaming moment.
Comedy|hY7m5jjJ9mM|CATS will make you LAUGH YOUR HEAD OFF|420|Funny cat compilation.
Comedy|N9qYF9DZPdw|Weird Al Yankovic - White & Nerdy (Official 4K Video)|200|Parody comedy music video.
Comedy|astISOttCQ0|Gummibar - The Gummy Bear Song|180|Absurd comedy music clip.
News|iG9CE55wbtY|Do schools kill creativity? | Sir Ken Robinson | TED|1160|Important public talk.
News|5MgBikgcWnY|The first 20 hours -- how to learn anything | Josh Kaufman | TEDxCSU|1200|TEDx news-style talk.
News|ScMzIvxBSi4|Placeholder Video|60|News placeholder clip.
News|M7lc1UVf-VE|YouTube Developers Live: Embedded Web Player Customization|600|Tech news style update.
Art|ScMzIvxBSi4|Placeholder Video|60|Creative placeholder clip.
Art|LsoLEjrDogU|Big Buck Bunny|596|Digital art animation showcase.
Art|fLexgOxsZu0|Big Buck Bunny - Official Blender Foundation short|596|3D art timelapse style film.
Art|CevxZvSJLk8|Katy Perry - Roar|269|Visual art in music video form.
Science|aircAruvnKk|But what is a neural network?|1240|Science and math explainer.
Science|iG9CE55wbtY|Do schools kill creativity? | Sir Ken Robinson | TED|1160|Science of learning talk.
Science|5MgBikgcWnY|The first 20 hours -- how to learn anything | Josh Kaufman | TEDxCSU|1200|Psychology of learning.
Science|8D9XnnjFGMs|MySQL Tutorial for Beginners|5400|Computer science data topic.
Fitness|UBMk30rjy0o|10 Minute Morning Stretch Routine|600|Mobility and warm-up flow.
Fitness|hHUbLv4ThOo|Pitbull, Ke$ha - Timber (featuring Ke$ha - Official Video)|204|Cardio dance workout.
Fitness|XqZsoesa55w|Baby Shark Dance|131|Family fitness dance.
Fashion|0e3GPea1Tyg|Capsule Wardrobe Essentials|720|Minimalist style guide.
Fashion|YQHsXMglC9A|Adele - Hello (Official Music Video)|295|Fashion-forward music video look.
Fashion|3tmd-ClpJxA|Taylor Swift - Look What You Made Me Do|242|High fashion music video.
DIY|M7lc1UVf-VE|YouTube Developers Live: Embedded Web Player Customization|600|Build and customize web projects.
DIY|LsoLEjrDogU|Big Buck Bunny|596|Open-source creative project.
DIY|8D9XnnjFGMs|MySQL Tutorial for Beginners|5400|Build a database project.
DIY|PkZNo7MFNFg|JavaScript Full Course for Beginners|10200|Build your own web apps.
Pets|hY7m5jjJ9mM|CATS will make you LAUGH YOUR HEAD OFF|420|Funny cat compilation.
Pets|J---aiyznGQ|Keyboard Cat - Original|55|Classic viral cat video.
Pets|astISOttCQ0|Gummibar - The Gummy Bear Song|180|Fun pet-themed clip for kids.
Pets|XqZsoesa55w|Baby Shark Dance|131|Kids and pets dance fun.
